Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-27,7:00 PM,Away,Tampa Bay Lightning,0,3,L,,28,22,8,L 1,19092,2:27,
59,2025-03-01,3:00 PM,Away,Florida Panthers,0,3,L,,28,23,8,L 2,19416,2:40,
60,2025-03-02,5:00 PM,Away,Carolina Hurricanes,1,2,L,OT,28,23,9,L 3,18700,2:38,
61,2025-03-04,7:00 PM,Away,Philadelphia Flyers,6,3,W,,29,23,9,W 1,18510,2:29,
62,2025-03-06,8:00 PM,Away,Dallas Stars,2,3,L,OT,29,23,10,L 1,18532,2:33,
63,2025-03-08,7:00 PM,Home,Montreal Canadiens,1,0,W,,30,23,10,W 1,19243,2:26,
64,2025-03-12,9:00 PM,Home,Vancouver Canucks,3,4,L,SO,30,23,11,L 1,18805,2:47,
65,2025-03-14,9:00 PM,Home,Colorado Avalanche,2,4,L,,30,24,11,L 2,18717,2:28,
66,2025-03-17,7:30 PM,Away,Toronto Maple Leafs,2,6,L,,30,25,11,L 3,19033,2:35,
67,2025-03-18,7:00 PM,Away,New York Rangers,2,1,W,,31,25,11,W 1,17591,2:36,
68,2025-03-20,7:00 PM,Away,New Jersey Devils,5,3,W,,32,25,11,W 2,16027,2:26,
69,2025-03-22,4:00 PM,Away,New York Islanders,4,3,W,OT,33,25,11,W 3,17255,2:33,
70,2025-03-25,9:00 PM,Home,Seattle Kraken,4,3,W,OT,34,25,11,W 4,14955,2:35,
71,2025-03-27,9:00 PM,Home,Dallas Stars,2,5,L,,34,26,11,L 1,17737,2:36,
72,2025-03-29,10:00 PM,Away,Edmonton Oilers,2,3,L,OT,34,26,12,L 2,18347,2:47,
73,2025-03-31,8:30 PM,Away,Colorado Avalanche,3,2,W,SO,35,26,12,W 1,18075,2:38,
74,2025-04-01,9:00 PM,Away,Utah Hockey Club,1,3,L,,35,27,12,L 1,11131,2:33,
75,2025-04-03,9:30 PM,Home,Anaheim Ducks,4,1,W,,36,27,12,W 1,17174,2:26,
76,2025-04-05,10:00 PM,Home,Vegas Golden Knights,2,3,L,OT,36,27,13,L 1,18104,2:46,
77,2025-04-07,10:30 PM,Away,San Jose Sharks,3,2,W,,37,27,13,W 1,12654,2:27,
78,2025-04-09,10:00 PM,Away,Anaheim Ducks,3,4,L,OT,37,27,14,L 1,15134,2:34,
79,2025-04-11,10:00 PM,Home,Minnesota Wild,4,2,W,,38,27,14,W 1,18566,2:28,
80,2025-04-13,8:00 PM,Home,San Jose Sharks,5,2,W,,39,27,14,W 2,17232,2:28,
81,2025-04-15,9:00 PM,Home,Vegas Golden Knights,5,4,W,SO,40,27,14,W 3,19055,2:47,
82,2025-04-17,9:30 PM,Away,Los Angeles Kings,5,1,W,,41,27,14,W 4,18145,2:25,
