Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
59,2025-02-23,6:00 PM,Away,Tampa Bay Lightning,1,4,L,,25,30,4,L 1,19092,2:25,
60,2025-02-25,8:00 PM,Away,St. Louis Blues,2,7,L,,25,31,4,L 2,18096,2:28,
61,2025-03-01,10:00 PM,Home,Vancouver Canucks,6,3,W,,26,31,4,W 1,17151,2:25,
62,2025-03-04,10:00 PM,Home,Minnesota Wild,3,4,L,,26,32,4,L 1,17151,2:46,
63,2025-03-06,8:00 PM,Away,Nashville Predators,3,5,L,,26,33,4,L 2,17159,2:22,
64,2025-03-08,12:30 PM,Away,Philadelphia Flyers,4,1,W,,27,33,4,W 1,19264,2:21,
65,2025-03-09,3:30 PM,Away,Washington Capitals,2,4,L,,27,34,4,L 1,18573,2:36,
66,2025-03-12,10:30 PM,Home,Montreal Canadiens,5,4,W,OT,28,34,4,W 1,17151,2:33,
67,2025-03-14,10:00 PM,Home,Utah Hockey Club,4,2,W,,29,34,4,W 2,17151,2:30,
68,2025-03-16,9:00 PM,Home,Winnipeg Jets,2,3,L,OT,29,34,5,L 1,17151,2:31,
69,2025-03-18,8:30 PM,Away,Chicago Blackhawks,6,2,W,,30,34,5,W 1,18505,2:21,
70,2025-03-19,9:30 PM,Away,Minnesota Wild,0,4,L,,30,35,5,L 1,17579,2:23,
71,2025-03-22,10:00 PM,Away,Edmonton Oilers,4,5,L,,30,36,5,L 2,18347,2:31,
72,2025-03-25,9:00 PM,Away,Calgary Flames,3,4,L,OT,30,36,6,L 3,14955,2:35,
73,2025-03-27,10:00 PM,Home,Edmonton Oilers,6,1,W,,31,36,6,W 1,17151,2:37,
74,2025-03-29,10:30 PM,Home,Dallas Stars,1,5,L,,31,37,6,L 1,17151,2:38,
75,2025-03-31,10:00 PM,Home,Dallas Stars,1,3,L,,31,38,6,L 2,17151,2:32,
76,2025-04-02,10:30 PM,Away,Vancouver Canucks,5,0,W,,32,38,6,W 1,18914,2:21,
77,2025-04-05,10:00 PM,Away,San Jose Sharks,5,1,W,,33,38,6,W 2,17435,2:33,
78,2025-04-07,10:30 PM,Away,Los Angeles Kings,2,1,W,,34,38,6,W 3,16655,2:28,
79,2025-04-08,9:00 PM,Away,Utah Hockey Club,1,7,L,,34,39,6,L 1,11131,2:33,
80,2025-04-10,10:00 PM,Away,Vegas Golden Knights,1,2,L,,34,40,6,L 2,17971,2:29,
81,2025-04-12,10:00 PM,Home,St. Louis Blues,4,3,W,SO,35,40,6,W 1,17151,2:42,
82,2025-04-15,10:30 PM,Home,Los Angeles Kings,5,6,L,,35,41,6,L 1,17151,2:33,
