Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-25,7:00 PM,Home,Carolina Hurricanes,4,0,W,,27,26,5,W 2,21105,2:21,
59,2025-02-27,7:00 PM,Home,San Jose Sharks,4,3,W,OT,28,26,5,W 3,21105,2:36,
60,2025-03-01,7:00 PM,Away,Buffalo Sabres,4,2,W,,29,26,5,W 4,18361,2:36,
61,2025-03-03,7:00 PM,Home,Buffalo Sabres,4,3,W,OT,30,26,5,W 5,21105,2:37,
62,2025-03-06,9:00 PM,Away,Edmonton Oilers,2,3,L,OT,30,26,6,L 1,18347,2:30,
63,2025-03-08,7:00 PM,Away,Calgary Flames,0,1,L,,30,27,6,L 2,19243,2:26,
64,2025-03-11,10:00 PM,Away,Vancouver Canucks,4,2,W,,31,27,6,W 1,18886,2:39,
65,2025-03-12,10:30 PM,Away,Seattle Kraken,4,5,L,OT,31,27,7,L 1,17151,2:33,
66,2025-03-15,7:00 PM,Home,Florida Panthers,3,1,W,,32,27,7,W 1,21105,2:34,
67,2025-03-18,7:00 PM,Home,Ottawa Senators,6,3,W,,33,27,7,W 2,21105,2:30,
68,2025-03-20,7:30 PM,Away,New York Islanders,3,4,L,OT,33,27,8,L 1,15218,2:51,
69,2025-03-22,7:00 PM,Home,Colorado Avalanche,4,5,L,SO,33,27,9,L 2,21105,2:52,
70,2025-03-25,8:00 PM,Away,St. Louis Blues,1,6,L,,33,28,9,L 3,18096,2:30,
71,2025-03-27,7:00 PM,Away,Philadelphia Flyers,4,6,L,,33,29,9,L 4,19284,2:36,
72,2025-03-28,7:00 PM,Away,Carolina Hurricanes,1,4,L,,33,30,9,L 5,18795,2:34,
73,2025-03-30,1:00 PM,Away,Florida Panthers,4,2,W,,34,30,9,W 1,19432,2:28,
74,2025-04-01,7:00 PM,Home,Florida Panthers,3,2,W,OT,35,30,9,W 2,21105,2:32,
75,2025-04-03,7:00 PM,Home,Boston Bruins,4,1,W,,36,30,9,W 3,21105,2:33,
76,2025-04-05,7:00 PM,Home,Philadelphia Flyers,3,2,W,,37,30,9,W 4,21105,2:27,
77,2025-04-06,7:00 PM,Away,Nashville Predators,2,1,W,,38,30,9,W 5,17183,2:29,
78,2025-04-08,7:00 PM,Home,Detroit Red Wings,4,1,W,,39,30,9,W 6,21105,2:33,
79,2025-04-11,7:00 PM,Away,Ottawa Senators,2,5,L,,39,31,9,L 1,18685,2:35,
80,2025-04-12,7:00 PM,Away,Toronto Maple Leafs,0,1,L,OT,39,31,10,L 2,19252,2:31,
81,2025-04-14,7:00 PM,Home,Chicago Blackhawks,3,4,L,SO,39,31,11,L 3,21105,2:35,
82,2025-04-16,7:00 PM,Home,Carolina Hurricanes,4,2,W,,40,31,11,W 1,21105,2:33,
