Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-22,3:00 PM,Home,Washington Capitals,3,8,L,,23,26,9,L 2,18207,2:30,
59,2025-02-23,3:30 PM,Home,New York Rangers,3,5,L,,23,27,9,L 3,17186,2:23,
60,2025-02-25,7:00 PM,Away,Philadelphia Flyers,1,6,L,,23,28,9,L 4,19089,2:24,
61,2025-02-27,7:30 PM,Home,Philadelphia Flyers,5,4,W,OT,24,28,9,W 1,16630,2:31,
62,2025-03-01,3:00 PM,Home,Boston Bruins,2,3,L,,24,29,9,L 1,17320,2:33,
63,2025-03-02,1:00 PM,Home,Toronto Maple Leafs,5,6,L,OT,24,29,10,L 2,16284,2:26,
64,2025-03-04,9:00 PM,Away,Colorado Avalanche,1,4,L,,24,30,10,L 3,18037,2:20,
65,2025-03-07,10:00 PM,Away,Vegas Golden Knights,0,4,L,,24,31,10,L 4,18219,2:18,
66,2025-03-09,3:30 PM,Away,Minnesota Wild,3,1,W,,25,31,10,W 1,18717,2:24,
67,2025-03-11,7:00 PM,Home,Vegas Golden Knights,3,2,W,OT,26,31,10,W 2,15760,2:32,
68,2025-03-13,7:00 PM,Home,St. Louis Blues,5,3,W,,27,31,10,W 3,15070,2:24,
69,2025-03-15,3:00 PM,Home,New Jersey Devils,7,3,W,,28,31,10,W 4,15442,2:32,
70,2025-03-18,7:00 PM,Home,New York Islanders,2,4,L,,28,32,10,L 1,17484,2:28,
71,2025-03-21,7:00 PM,Home,Columbus Blue Jackets,6,3,W,,29,32,10,W 1,17222,2:27,
72,2025-03-23,6:00 PM,Away,Florida Panthers,3,4,L,SO,29,32,11,L 1,19525,2:44,
73,2025-03-25,7:00 PM,Away,Tampa Bay Lightning,1,6,L,,29,33,11,L 2,19092,2:32,
74,2025-03-27,7:00 PM,Away,Buffalo Sabres,3,7,L,,29,34,11,L 3,16418,2:30,
75,2025-03-30,5:00 PM,Home,Ottawa Senators,1,0,W,OT,30,34,11,W 1,16016,2:32,
76,2025-04-03,8:00 PM,Away,St. Louis Blues,4,5,L,OT,30,34,12,L 1,18096,2:31,
77,2025-04-05,3:00 PM,Away,Dallas Stars,5,3,W,,31,34,12,W 1,18532,2:31,
78,2025-04-06,6:00 PM,Away,Chicago Blackhawks,1,3,L,,31,35,12,L 1,20487,2:17,
79,2025-04-08,7:00 PM,Home,Chicago Blackhawks,5,0,W,,32,35,12,W 1,15029,2:30,
80,2025-04-11,7:00 PM,Away,New Jersey Devils,4,2,W,,33,35,12,W 2,16514,2:17,
81,2025-04-13,3:30 PM,Home,Boston Bruins,1,4,L,,33,36,12,L 1,15976,2:23,
82,2025-04-17,7:00 PM,Home,Washington Capitals,5,2,W,,34,36,12,W 1,18348,2:31,
