Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-25,7:30 PM,Away,New York Islanders,5,1,W,,29,25,4,W 2,17255,2:25,
59,2025-02-28,7:00 PM,Home,Toronto Maple Leafs,2,3,L,,29,26,4,L 1,18006,2:33,
60,2025-03-02,7:00 PM,Home,Nashville Predators,4,0,W,,30,26,4,W 1,17336,2:32,
61,2025-03-03,7:00 PM,Home,New York Islanders,4,0,W,,31,26,4,W 2,17475,2:25,
62,2025-03-05,7:30 PM,Home,Washington Capitals,2,3,L,OT,31,26,5,L 1,18006,2:42,
63,2025-03-08,12:30 PM,Away,Ottawa Senators,3,4,L,OT,31,26,6,L 2,18224,2:29,
64,2025-03-09,6:00 PM,Home,Columbus Blue Jackets,3,7,L,,31,27,6,L 3,18006,2:26,
65,2025-03-11,8:00 PM,Away,Winnipeg Jets,1,2,L,,31,28,6,L 4,14278,2:30,
66,2025-03-13,8:00 PM,Away,Minnesota Wild,3,2,W,OT,32,28,6,W 1,18976,2:33,
67,2025-03-15,7:00 PM,Away,Columbus Blue Jackets,4,0,W,,33,28,6,W 2,18464,2:16,
68,2025-03-16,7:00 PM,Home,Edmonton Oilers,1,3,L,,33,29,6,L 1,18006,2:22,
69,2025-03-18,7:00 PM,Home,Calgary Flames,1,2,L,,33,30,6,L 2,17591,2:36,
70,2025-03-20,7:00 PM,Home,Toronto Maple Leafs,3,4,L,,33,31,6,L 3,17235,2:28,
71,2025-03-22,1:00 PM,Home,Vancouver Canucks,5,3,W,,34,31,6,W 1,18006,2:34,
72,2025-03-25,10:30 PM,Away,Los Angeles Kings,1,3,L,,34,32,6,L 1,17022,2:33,
73,2025-03-28,10:00 PM,Away,Anaheim Ducks,4,5,L,OT,34,32,7,L 2,16197,2:36,
74,2025-03-29,10:30 PM,Away,San Jose Sharks,6,1,W,,35,32,7,W 1,17435,2:25,
75,2025-04-02,7:00 PM,Home,Minnesota Wild,5,4,W,OT,36,32,7,W 2,17492,2:32,
76,2025-04-05,12:30 PM,Away,New Jersey Devils,0,4,L,,36,33,7,L 1,16514,2:18,
77,2025-04-07,7:00 PM,Home,Tampa Bay Lightning,1,5,L,,36,34,7,L 2,17130,2:25,
78,2025-04-09,7:30 PM,Home,Philadelphia Flyers,5,8,L,,36,35,7,L 3,17530,2:34,
79,2025-04-10,7:30 PM,Away,New York Islanders,9,2,W,,37,35,7,W 1,17255,2:30,
80,2025-04-12,3:00 PM,Away,Carolina Hurricanes,3,7,L,,37,36,7,L 1,18880,2:35,
81,2025-04-14,7:00 PM,Away,Florida Panthers,5,3,W,,38,36,7,W 1,19453,2:31,
82,2025-04-17,7:00 PM,Home,Tampa Bay Lightning,4,0,W,,39,36,7,W 2,18006,2:20,
