Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-22,1:00 PM,Home,Edmonton Oilers,6,3,W,,25,26,7,W 2,19847,2:19,
59,2025-02-25,7:00 PM,Home,Pittsburgh Penguins,6,1,W,,26,26,7,W 3,19089,2:24,
60,2025-02-27,7:30 PM,Away,Pittsburgh Penguins,4,5,L,OT,26,26,8,L 1,16630,2:31,
61,2025-03-01,7:00 PM,Away,Winnipeg Jets,2,1,W,SO,27,26,8,W 1,14436,2:34,
62,2025-03-04,7:00 PM,Home,Calgary Flames,3,6,L,,27,27,8,L 1,18510,2:29,
63,2025-03-06,7:00 PM,Home,Winnipeg Jets,1,4,L,,27,28,8,L 2,18619,2:16,
64,2025-03-08,12:30 PM,Home,Seattle Kraken,1,4,L,,27,29,8,L 3,19264,2:21,
65,2025-03-09,1:00 PM,Home,New Jersey Devils,1,3,L,,27,30,8,L 4,19271,2:20,
66,2025-03-11,7:00 PM,Home,Ottawa Senators,2,5,L,,27,31,8,L 5,18201,2:25,
67,2025-03-13,7:00 PM,Home,Tampa Bay Lightning,4,3,W,SO,28,31,8,W 1,18405,2:40,
68,2025-03-15,7:00 PM,Home,Carolina Hurricanes,0,5,L,,28,32,8,L 1,18801,2:28,
69,2025-03-17,7:00 PM,Away,Tampa Bay Lightning,0,2,L,,28,33,8,L 2,19092,2:28,
70,2025-03-20,7:00 PM,Away,Washington Capitals,2,3,L,,28,34,8,L 3,18573,2:34,
71,2025-03-22,2:00 PM,Away,Dallas Stars,2,3,L,OT,28,34,9,L 4,18532,2:27,
72,2025-03-23,3:00 PM,Away,Chicago Blackhawks,4,7,L,,28,35,9,L 5,20125,2:31,
73,2025-03-25,7:00 PM,Away,Toronto Maple Leafs,2,7,L,,28,36,9,L 6,18691,2:29,
74,2025-03-27,7:00 PM,Home,Montreal Canadiens,6,4,W,,29,36,9,W 1,19284,2:36,
75,2025-03-29,1:00 PM,Home,Buffalo Sabres,7,4,W,,30,36,9,W 2,19092,2:24,
76,2025-03-31,7:00 PM,Home,Nashville Predators,2,1,W,,31,36,9,W 3,18858,2:20,
77,2025-04-05,7:00 PM,Away,Montreal Canadiens,2,3,L,,31,37,9,L 1,21105,2:27,
78,2025-04-09,7:30 PM,Away,New York Rangers,8,5,W,,32,37,9,W 1,17530,2:34,
79,2025-04-12,12:30 PM,Home,New York Islanders,4,3,W,SO,33,37,9,W 2,19259,2:39,
80,2025-04-13,1:00 PM,Away,Ottawa Senators,3,4,L,OT,33,37,10,L 1,16059,2:28,
81,2025-04-15,7:00 PM,Home,Columbus Blue Jackets,0,3,L,,33,38,10,L 2,19105,2:24,
82,2025-04-17,7:00 PM,Away,Buffalo Sabres,4,5,L,,33,39,10,L 3,16633,2:28,
