Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-27,8:00 PM,Home,Winnipeg Jets,2,1,W,,21,30,7,W 1,17159,2:33,
59,2025-03-01,12:30 PM,Away,New York Islanders,4,7,L,,21,31,7,L 1,17255,2:30,
60,2025-03-02,7:00 PM,Away,New York Rangers,0,4,L,,21,32,7,L 2,17336,2:32,
61,2025-03-04,7:00 PM,Away,Boston Bruins,6,3,W,,22,32,7,W 1,17850,2:24,
62,2025-03-06,8:00 PM,Home,Seattle Kraken,5,3,W,,23,32,7,W 2,17159,2:22,
63,2025-03-08,8:00 PM,Home,Chicago Blackhawks,3,2,W,OT,24,32,7,W 3,17159,2:36,
64,2025-03-11,10:30 PM,Away,San Jose Sharks,3,2,W,,25,32,7,W 4,10523,2:21,
65,2025-03-14,10:00 PM,Away,Anaheim Ducks,1,2,L,,25,33,7,L 1,14758,2:18,
66,2025-03-15,8:00 PM,Away,Los Angeles Kings,0,1,L,OT,25,33,8,L 2,18145,2:31,
67,2025-03-18,8:00 PM,Home,St. Louis Blues,1,4,L,,25,34,8,L 3,17159,2:21,
68,2025-03-20,8:00 PM,Home,Anaheim Ducks,1,4,L,,25,35,8,L 4,17159,2:25,
69,2025-03-22,7:00 PM,Home,Toronto Maple Leafs,5,2,W,,26,35,8,W 1,17159,2:30,
70,2025-03-23,6:00 PM,Away,St. Louis Blues,1,4,L,,26,36,8,L 1,18096,2:39,
71,2025-03-25,7:00 PM,Away,Carolina Hurricanes,3,1,W,,27,36,8,W 1,18700,2:24,
72,2025-03-27,8:00 PM,Home,St. Louis Blues,2,3,L,,27,37,8,L 1,17159,2:33,
73,2025-03-29,6:30 PM,Home,Vegas Golden Knights,1,3,L,,27,38,8,L 2,17159,2:31,
74,2025-03-31,7:00 PM,Away,Philadelphia Flyers,1,2,L,,27,39,8,L 3,18858,2:20,
75,2025-04-01,7:00 PM,Away,Columbus Blue Jackets,4,8,L,,27,40,8,L 4,15605,2:34,
76,2025-04-03,8:00 PM,Away,Dallas Stars,1,5,L,,27,41,8,L 5,18532,2:27,
77,2025-04-06,7:00 PM,Home,Montreal Canadiens,1,2,L,,27,42,8,L 6,17183,2:29,
78,2025-04-08,8:00 PM,Home,New York Islanders,7,6,W,OT,28,42,8,W 1,17159,2:43,
79,2025-04-10,9:00 PM,Away,Utah Hockey Club,4,3,W,SO,29,42,8,W 2,11131,2:49,
80,2025-04-12,10:00 PM,Away,Vegas Golden Knights,3,5,L,,29,43,8,L 1,18338,2:27,
81,2025-04-14,8:00 PM,Home,Utah Hockey Club,3,7,L,,29,44,8,L 2,17159,2:43,
82,2025-04-16,8:00 PM,Home,Dallas Stars,5,1,W,,30,44,8,W 1,17330,2:26,
