Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-22,6:00 PM,Home,Seattle Kraken,1,2,L,,34,21,3,L 1,19628,2:29,
59,2025-02-25,8:00 PM,Away,Nashville Predators,4,1,W,,35,21,3,W 1,17159,2:37,
60,2025-02-27,7:00 PM,Home,Edmonton Oilers,4,3,W,,36,21,3,W 2,19456,2:42,
61,2025-03-01,3:00 PM,Home,Calgary Flames,3,0,W,,37,21,3,W 3,19416,2:40,
62,2025-03-03,7:00 PM,Home,Tampa Bay Lightning,2,1,W,,38,21,3,W 4,19441,2:31,
63,2025-03-06,7:00 PM,Home,Columbus Blue Jackets,3,0,W,,39,21,3,W 5,19402,2:34,
64,2025-03-08,6:00 PM,Home,Buffalo Sabres,4,0,W,,40,21,3,W 6,19559,2:19,
65,2025-03-11,7:00 PM,Away,Boston Bruins,2,3,L,,40,22,3,L 1,17850,2:41,
66,2025-03-13,7:00 PM,Away,Toronto Maple Leafs,3,2,W,,41,22,3,W 1,19201,2:32,
67,2025-03-15,7:00 PM,Away,Montreal Canadiens,1,3,L,,41,23,3,L 1,21105,2:34,
68,2025-03-16,7:30 PM,Away,New York Islanders,2,4,L,,41,24,3,L 2,15109,2:22,
69,2025-03-20,7:00 PM,Away,Columbus Blue Jackets,1,0,W,OT,42,24,3,W 1,16757,2:29,
70,2025-03-22,5:00 PM,Away,Washington Capitals,3,6,L,,42,25,3,L 1,18573,2:33,
71,2025-03-23,6:00 PM,Home,Pittsburgh Penguins,4,3,W,SO,43,25,3,W 1,19525,2:44,
72,2025-03-28,7:00 PM,Home,Utah Hockey Club,2,1,W,OT,44,25,3,W 2,19549,2:28,
73,2025-03-30,1:00 PM,Home,Montreal Canadiens,2,4,L,,44,26,3,L 1,19432,2:28,
74,2025-04-01,7:00 PM,Away,Montreal Canadiens,2,3,L,OT,44,26,4,L 2,21105,2:32,
75,2025-04-02,7:30 PM,Away,Toronto Maple Leafs,2,3,L,,44,27,4,L 3,19066,2:23,
76,2025-04-05,2:00 PM,Away,Ottawa Senators,0,3,L,,44,28,4,L 4,18611,2:26,
77,2025-04-06,5:30 PM,Away,Detroit Red Wings,1,2,L,,44,29,4,L 5,19515,2:26,
78,2025-04-08,7:00 PM,Home,Toronto Maple Leafs,3,1,W,,45,29,4,W 1,19261,2:17,
79,2025-04-10,7:00 PM,Home,Detroit Red Wings,4,1,W,,46,29,4,W 2,19448,2:24,
80,2025-04-12,6:00 PM,Home,Buffalo Sabres,3,2,W,SO,47,29,4,W 3,19318,2:44,
81,2025-04-14,7:00 PM,Home,New York Rangers,3,5,L,,47,30,4,L 1,19453,2:31,
82,2025-04-15,7:30 PM,Away,Tampa Bay Lightning,1,5,L,,47,31,4,L 2,19092,2:14,
