Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
59,2025-02-23,6:00 PM,Away,St. Louis Blues,1,3,L,,33,24,2,L 2,17806,2:21,
60,2025-02-26,9:30 PM,Home,New Jersey Devils,5,1,W,,34,24,2,W 1,18087,2:31,
61,2025-02-28,9:00 PM,Home,Minnesota Wild,5,2,W,,35,24,2,W 2,18091,2:26,
62,2025-03-04,9:00 PM,Home,Pittsburgh Penguins,4,1,W,,36,24,2,W 3,18037,2:20,
63,2025-03-06,9:30 PM,Home,San Jose Sharks,7,3,W,,37,24,2,W 4,18077,2:35,
64,2025-03-08,7:00 PM,Home,Toronto Maple Leafs,7,4,W,,38,24,2,W 5,18094,2:28,
65,2025-03-10,9:00 PM,Home,Chicago Blackhawks,3,0,W,,39,24,2,W 6,18072,2:35,
66,2025-03-11,8:00 PM,Away,Minnesota Wild,1,2,L,SO,39,24,3,L 1,18901,2:32,
67,2025-03-14,9:00 PM,Away,Calgary Flames,4,2,W,,40,24,3,W 1,18717,2:28,
68,2025-03-16,3:30 PM,Home,Dallas Stars,4,3,W,OT,41,24,3,W 2,18131,2:31,
69,2025-03-19,7:00 PM,Away,Toronto Maple Leafs,1,2,L,,41,25,3,L 1,18731,2:28,
70,2025-03-20,7:00 PM,Away,Ottawa Senators,5,1,W,,42,25,3,W 1,17856,2:22,
71,2025-03-22,7:00 PM,Away,Montreal Canadiens,5,4,W,SO,43,25,3,W 2,21105,2:52,
72,2025-03-25,9:00 PM,Home,Detroit Red Wings,5,2,W,,44,25,3,W 3,18101,2:30,
73,2025-03-27,10:00 PM,Home,Los Angeles Kings,4,0,W,,45,25,3,W 4,18087,2:27,
74,2025-03-29,4:30 PM,Home,St. Louis Blues,1,2,L,,45,26,3,L 1,18129,2:25,
75,2025-03-31,8:30 PM,Home,Calgary Flames,2,3,L,SO,45,26,4,L 2,18075,2:38,
76,2025-04-02,9:30 PM,Away,Chicago Blackhawks,3,2,W,SO,46,26,4,W 1,16649,2:45,
77,2025-04-03,7:30 PM,Away,Columbus Blue Jackets,7,3,W,,47,26,4,W 2,18392,2:38,
78,2025-04-05,7:00 PM,Away,St. Louis Blues,4,5,L,,47,27,4,L 1,18096,2:32,
79,2025-04-08,9:30 PM,Home,Vegas Golden Knights,3,2,W,SO,48,27,4,W 1,18077,2:54,
80,2025-04-10,9:00 PM,Home,Vancouver Canucks,1,4,L,,48,28,4,L 1,18092,2:36,
81,2025-04-12,4:00 PM,Away,Los Angeles Kings,4,5,L,,48,29,4,L 2,17355,2:36,
82,2025-04-13,10:00 PM,Away,Anaheim Ducks,4,2,W,,49,29,4,W 1,17241,2:23,
