Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-25,8:00 PM,Home,Detroit Red Wings,2,3,L,,34,20,4,L 1,18618,2:18,
59,2025-02-27,9:00 PM,Away,Utah Hockey Club,1,6,L,,34,21,4,L 2,11131,2:29,
60,2025-02-28,9:00 PM,Away,Colorado Avalanche,2,5,L,,34,22,4,L 3,18091,2:26,
61,2025-03-02,3:30 PM,Home,Boston Bruins,1,0,W,,35,22,4,W 1,18447,2:21,
62,2025-03-04,10:00 PM,Away,Seattle Kraken,4,3,W,,36,22,4,W 2,17151,2:46,
63,2025-03-07,10:00 PM,Away,Vancouver Canucks,1,3,L,,36,23,4,L 1,18885,2:19,
64,2025-03-09,3:30 PM,Home,Pittsburgh Penguins,1,3,L,,36,24,4,L 2,18717,2:24,
65,2025-03-11,8:00 PM,Home,Colorado Avalanche,2,1,W,SO,37,24,4,W 1,18901,2:32,
66,2025-03-13,8:00 PM,Home,New York Rangers,2,3,L,OT,37,24,5,L 1,18976,2:33,
67,2025-03-15,8:00 PM,Home,St. Louis Blues,1,5,L,,37,25,5,L 2,18568,2:26,
68,2025-03-17,8:00 PM,Home,Los Angeles Kings,3,1,W,,38,25,5,W 1,18033,2:23,
69,2025-03-19,9:30 PM,Home,Seattle Kraken,4,0,W,,39,25,5,W 2,17579,2:23,
70,2025-03-22,2:00 PM,Home,Buffalo Sabres,4,1,W,,40,25,5,W 3,18379,2:24,
71,2025-03-24,8:00 PM,Away,Dallas Stars,0,3,L,,40,26,5,L 1,18532,2:33,
72,2025-03-25,8:00 PM,Home,Vegas Golden Knights,1,5,L,,40,27,5,L 2,17734,2:24,
73,2025-03-27,7:30 PM,Home,Washington Capitals,4,2,W,,41,27,5,W 1,19108,2:29,
74,2025-03-29,6:00 PM,Home,New Jersey Devils,2,5,L,,41,28,5,L 1,19265,2:27,
75,2025-03-31,7:00 PM,Away,New Jersey Devils,2,3,L,SO,41,28,6,L 2,15468,2:36,
76,2025-04-02,7:00 PM,Away,New York Rangers,4,5,L,OT,41,28,7,L 3,17492,2:32,
77,2025-04-04,7:30 PM,Away,New York Islanders,1,3,L,,41,29,7,L 4,15742,2:24,
78,2025-04-06,3:00 PM,Home,Dallas Stars,3,2,W,OT,42,29,7,W 1,18548,2:31,
79,2025-04-09,8:00 PM,Home,San Jose Sharks,8,7,W,OT,43,29,7,W 2,18675,2:48,
80,2025-04-11,10:00 PM,Away,Calgary Flames,2,4,L,,43,30,7,L 1,18566,2:28,
81,2025-04-12,10:00 PM,Away,Vancouver Canucks,3,2,W,OT,44,30,7,W 1,18844,2:38,
82,2025-04-15,8:00 PM,Home,Anaheim Ducks,3,2,W,OT,45,30,7,W 2,19029,2:37,
