Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
59,2025-02-27,7:00 PM,Home,Buffalo Sabres,5,2,W,,34,21,4,W 1,18844,2:32,
60,2025-03-01,7:00 PM,Home,Edmonton Oilers,1,3,L,,34,22,4,L 1,18994,2:29,
61,2025-03-02,5:00 PM,Home,Calgary Flames,2,1,W,OT,35,22,4,W 1,18700,2:38,
62,2025-03-04,7:00 PM,Away,Detroit Red Wings,2,1,W,,36,22,4,W 2,18573,2:22,
63,2025-03-06,7:00 PM,Home,Boston Bruins,3,2,W,,37,22,4,W 3,18700,2:29,
64,2025-03-09,5:00 PM,Home,Winnipeg Jets,4,2,W,,38,22,4,W 4,18700,2:32,
65,2025-03-11,7:30 PM,Home,Tampa Bay Lightning,4,1,W,,39,22,4,W 5,18700,2:26,
66,2025-03-14,7:00 PM,Home,Detroit Red Wings,4,2,W,,40,22,4,W 6,18845,2:28,
67,2025-03-15,7:00 PM,Away,Philadelphia Flyers,5,0,W,,41,22,4,W 7,18801,2:28,
68,2025-03-20,10:30 PM,Away,San Jose Sharks,3,1,W,,42,22,4,W 8,11373,2:26,
69,2025-03-22,4:00 PM,Away,Los Angeles Kings,2,7,L,,42,23,4,L 1,16896,2:29,
70,2025-03-23,8:00 PM,Away,Anaheim Ducks,5,2,W,,43,23,4,W 1,16439,2:32,
71,2025-03-25,7:00 PM,Home,Nashville Predators,1,3,L,,43,24,4,L 1,18700,2:24,
72,2025-03-28,7:00 PM,Home,Montreal Canadiens,4,1,W,,44,24,4,W 1,18795,2:34,
73,2025-03-30,5:00 PM,Home,New York Islanders,6,4,W,,45,24,4,W 2,18700,2:30,
74,2025-04-02,7:00 PM,Home,Washington Capitals,5,1,W,,46,24,4,W 3,18908,2:47,
75,2025-04-04,7:00 PM,Away,Detroit Red Wings,3,5,L,,46,25,4,L 1,18972,2:27,
76,2025-04-05,7:00 PM,Away,Boston Bruins,1,5,L,,46,26,4,L 2,17850,2:23,
77,2025-04-08,7:00 PM,Away,Buffalo Sabres,0,3,L,,46,27,4,L 3,13709,2:24,
78,2025-04-10,7:30 PM,Away,Washington Capitals,4,5,L,SO,46,27,5,L 4,18573,2:48,
79,2025-04-12,3:00 PM,Home,New York Rangers,7,3,W,,47,27,5,W 1,18880,2:35,
80,2025-04-13,5:00 PM,Home,Toronto Maple Leafs,1,4,L,,47,28,5,L 1,18905,2:19,
81,2025-04-16,7:00 PM,Away,Montreal Canadiens,2,4,L,,47,29,5,L 2,21105,2:33,
82,2025-04-17,7:00 PM,Away,Ottawa Senators,5,7,L,,47,30,5,L 3,16193,2:28,
