Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-02-25,7:00 PM,Away,Columbus Blue Jackets,4,6,L,,37,19,2,L 1,16897,2:24,
59,2025-02-28,8:00 PM,Home,Los Angeles Kings,6,2,W,,38,19,2,W 1,18532,2:25,
60,2025-03-02,6:00 PM,Home,St. Louis Blues,6,3,W,,39,19,2,W 2,18532,2:35,
61,2025-03-04,8:00 PM,Home,New Jersey Devils,4,3,W,,40,19,2,W 3,18532,2:34,
62,2025-03-06,8:00 PM,Home,Calgary Flames,3,2,W,OT,41,19,2,W 4,18532,2:33,
63,2025-03-08,10:00 PM,Away,Edmonton Oilers,4,5,L,,41,20,2,L 1,18347,2:25,
64,2025-03-09,9:00 PM,Away,Vancouver Canucks,4,1,W,,42,20,2,W 1,18656,2:24,
65,2025-03-14,8:00 PM,Away,Winnipeg Jets,1,4,L,,42,21,2,L 1,15225,2:23,
66,2025-03-16,3:30 PM,Away,Colorado Avalanche,3,4,L,OT,42,21,3,L 2,18131,2:31,
67,2025-03-18,8:00 PM,Home,Anaheim Ducks,4,3,W,OT,43,21,3,W 1,18532,2:35,
68,2025-03-20,8:00 PM,Home,Tampa Bay Lightning,2,3,L,SO,43,21,4,L 1,18532,2:43,
69,2025-03-22,2:00 PM,Home,Philadelphia Flyers,3,2,W,OT,44,21,4,W 1,18532,2:27,
70,2025-03-24,8:00 PM,Home,Minnesota Wild,3,0,W,,45,21,4,W 2,18532,2:33,
71,2025-03-26,10:00 PM,Away,Edmonton Oilers,4,3,W,,46,21,4,W 3,18347,2:35,
72,2025-03-27,9:00 PM,Away,Calgary Flames,5,2,W,,47,21,4,W 4,17737,2:36,
73,2025-03-29,10:30 PM,Away,Seattle Kraken,5,1,W,,48,21,4,W 5,17151,2:38,
74,2025-03-31,10:00 PM,Away,Seattle Kraken,3,1,W,,49,21,4,W 6,17151,2:32,
75,2025-04-03,8:00 PM,Home,Nashville Predators,5,1,W,,50,21,4,W 7,18532,2:27,
76,2025-04-05,3:00 PM,Home,Pittsburgh Penguins,3,5,L,,50,22,4,L 1,18532,2:31,
77,2025-04-06,3:00 PM,Away,Minnesota Wild,2,3,L,OT,50,22,5,L 2,18548,2:31,
78,2025-04-08,8:00 PM,Home,Vancouver Canucks,5,6,L,OT,50,22,6,L 3,18532,2:29,
79,2025-04-10,8:00 PM,Home,Winnipeg Jets,0,4,L,,50,23,6,L 4,18532,2:23,
80,2025-04-12,8:00 PM,Home,Utah Hockey Club,3,5,L,,50,24,6,L 5,18532,2:36,
81,2025-04-14,7:00 PM,Away,Detroit Red Wings,4,6,L,,50,25,6,L 6,18669,2:27,
82,2025-04-16,8:00 PM,Away,Nashville Predators,1,5,L,,50,26,6,L 7,17330,2:26,
