Game,Date,Time,Home/Away,Opponent,Goals For,Goals Against,OT,Notes,Wins,Losses,Overtime Losses,Streak,Attendance,Log,Notes2
58,2025-03-01,8:00 PM,Away,St. Louis Blues,1,4,L,,31,19,8,L 3,17713,2:27,
59,2025-03-03,8:30 PM,Away,Chicago Blackhawks,1,5,L,,31,20,8,L 4,16254,2:23,
60,2025-03-05,10:30 PM,Home,St. Louis Blues,2,3,L,SO,31,20,9,L 5,14055,2:34,
61,2025-03-08,8:00 PM,Home,St. Louis Blues,2,1,W,OT,32,20,9,W 1,17796,2:36,
62,2025-03-09,8:00 PM,Away,Vegas Golden Knights,6,5,W,,33,20,9,W 2,18019,2:34,
63,2025-03-11,10:30 PM,Home,New York Islanders,4,1,W,,34,20,9,W 3,15394,2:35,
64,2025-03-13,10:30 PM,Home,Washington Capitals,3,0,W,,35,20,9,W 4,18145,2:31,
65,2025-03-15,8:00 PM,Home,Nashville Predators,1,0,W,OT,36,20,9,W 5,18145,2:31,
66,2025-03-17,8:00 PM,Away,Minnesota Wild,1,3,L,,36,21,9,L 1,18033,2:23,
67,2025-03-20,8:30 PM,Away,Chicago Blackhawks,3,1,W,,37,21,9,W 1,16981,2:18,
68,2025-03-22,4:00 PM,Home,Carolina Hurricanes,7,2,W,,38,21,9,W 2,16896,2:29,
69,2025-03-23,9:00 PM,Home,Boston Bruins,7,2,W,,39,21,9,W 3,18145,2:31,
70,2025-03-25,10:30 PM,Home,New York Rangers,3,1,W,,40,21,9,W 4,17022,2:33,
71,2025-03-27,10:00 PM,Away,Colorado Avalanche,0,4,L,,40,22,9,L 1,18087,2:27,
72,2025-03-29,7:00 PM,Home,Toronto Maple Leafs,1,3,L,,40,23,9,L 2,18145,2:34,
73,2025-03-30,10:00 PM,Home,San Jose Sharks,8,1,W,,41,23,9,W 1,18145,2:36,
74,2025-04-01,10:30 PM,Home,Winnipeg Jets,4,1,W,,42,23,9,W 2,15012,2:22,
75,2025-04-03,9:00 PM,Away,Utah Hockey Club,4,2,W,,43,23,9,W 3,11131,2:39,
76,2025-04-05,4:00 PM,Home,Edmonton Oilers,3,0,W,,44,23,9,W 4,16366,2:31,
77,2025-04-07,10:30 PM,Home,Seattle Kraken,1,2,L,,44,24,9,L 1,16655,2:28,
78,2025-04-10,10:00 PM,Home,Anaheim Ducks,6,1,W,,45,24,9,W 1,18145,2:31,
79,2025-04-12,4:00 PM,Home,Colorado Avalanche,5,4,W,,46,24,9,W 2,17355,2:36,
80,2025-04-14,10:00 PM,Away,Edmonton Oilers,5,0,W,,47,24,9,W 3,18347,2:33,
81,2025-04-15,10:30 PM,Away,Seattle Kraken,6,5,W,,48,24,9,W 4,17151,2:33,
82,2025-04-17,9:30 PM,Home,Calgary Flames,1,5,L,,48,25,9,L 1,18145,2:25,
