Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Gtm,Unnamed: 2_level_0 Date,Unnamed: 3_level_0 Unnamed: 3_level_1,Unnamed: 4_level_0 Opp,Score Rslt,Score GF,Score GA,Score OT,Team SOG,Team PIM,Team PPG,Team PPO,Team SHG,Opponent SOG,Opponent PIM,Opponent PPG,Opponent PPO,Opponent SHG,Advanced (5-on-5) CF,Advanced (5-on-5) CA,Advanced (5-on-5) FF,Advanced (5-on-5) FA
58,58,2/25/2023,@,VAN,W,3,1,,35,6,1,3,0,27,6,0,3,0,0,0,0,0
59,59,2/27/2023,@,EDM,W,3,2,,28,4,0,5,0,24,10,0,1,0,0,0,0,0
60,60,2/28/2023,@,CGY,W,4,3,OT,20,13,1,3,0,57,13,0,3,0,0,0,0,0
61,61,3/2/2023,,BUF,W,7,1,,42,8,1,3,2,27,8,0,3,0,0,0,0,0
62,62,3/4/2023,,NYR,W,4,2,,24,11,0,3,1,26,11,1,3,0,0,0,0,0
63,63,3/9/2023,,EDM,L,2,3,,28,2,0,2,0,22,4,0,1,0,0,0,0,0
64,64,3/11/2023,,DET,W,3,2,,38,4,1,4,0,31,8,1,2,1,0,0,0,0
65,65,3/12/2023,@,DET,L,3,5,,33,12,0,3,0,26,12,2,3,1,0,0,0,0
66,66,3/14/2023,@,CHI,L,3,6,,42,6,0,2,0,29,4,1,3,0,0,0,0,0
67,67,3/16/2023,@,WPG,W,3,0,,24,10,0,3,0,36,6,0,5,0,0,0,0,0
68,68,3/18/2023,@,MIN,W,5,2,,38,12,1,4,0,31,10,1,5,0,0,0,0,0
69,69,3/19/2023,@,BUF,W,7,0,,25,15,1,3,0,26,13,0,4,0,0,0,0,0
70,70,3/21/2023,,OTT,W,2,1,,35,6,1,4,0,41,8,0,3,0,0,0,0,0
71,71,3/23/2023,,MTL,W,4,2,,21,25,0,5,0,31,14,2,5,0,0,0,0,0
72,72,3/25/2023,,TBL,W,2,1,,34,17,1,7,0,27,21,0,5,1,0,0,0,0
73,73,3/26/2023,@,CAR,W,4,3,SO,38,6,1,2,0,37,4,0,3,0,0,0,0,0
74,74,3/28/2023,,NSH,L,1,2,,36,10,0,5,0,23,10,0,5,0,0,0,0,0
75,75,3/30/2023,,CBJ,W,2,1,OT,31,25,1,5,0,26,25,0,5,0,0,0,0,0
76,76,4/1/2023,@,PIT,W,4,3,,35,12,2,3,0,24,6,0,6,0,0,0,0,0
77,77,4/2/2023,@,STL,W,4,3,SO,31,12,1,2,0,38,8,0,4,0,0,0,0,0
78,78,4/6/2023,,TOR,W,2,1,OT,33,21,0,4,0,32,13,0,3,0,0,0,0,0
79,79,4/8/2023,,NJD,W,2,1,,40,10,1,1,0,30,4,0,3,0,0,0,0,0
80,80,4/9/2023,@,PHI,W,5,3,,34,13,0,1,0,37,7,0,4,0,0,0,0,0
81,81,4/11/2023,,WSH,W,5,2,,44,4,2,2,0,27,4,1,2,0,0,0,0,0
82,82,4/13/2023,@,MTL,W,5,4,,21,13,0,6,0,34,19,0,3,1,0,0,0,0
,,,,,65-12-5,305,177,,2703,861,62,279,8,2447,814,36,283,8,0,0,0,0
